scenario,method,true,estimate,se,covered,rep,seed
Complete,Admissible refinement,1.0865942630425307,0.9526460018325932,0.08475612894074956,1,12,1256563811
Complete,Mediator-as-state,1.0865942630425307,0.4608827145451594,0.09450840740758115,0,12,1256563811
Complete,Post-action leakage,1.0865942630425307,0.6100700113635577,0.0934697124931392,0,12,1256563811
Complete,Oracle state,1.0865942630425307,0.9277076323862092,0.08530128805906324,1,12,1256563811
Observed-state MAR,Untyped naive contrast,1.0331267363661936,1.9919890030614429,0.17493967476084257,0,12,1256563811
Observed-state MAR,Coarse locked state,1.0331267363661936,1.0553067915970413,0.10674131635188035,1,12,1256563811
Observed-state MAR,Design erasure,1.0331267363661936,1.1695826704585466,0.10449791609824247,1,12,1256563811
Observed-state MAR,Admissible refinement,1.0331267363661936,1.0511132879978076,0.10252481916758702,1,12,1256563811
Observed-state MAR,IPCW admissible refinement,1.0331267363661936,1.0418048988355106,0.1025017529091609,1,12,1256563811
Observed-state MAR,Mediator-as-state,1.0331267363661936,0.6385448346843482,0.11035697954396892,0,12,1256563811
Observed-state MAR,Post-action leakage,1.0331267363661936,0.7980507363341648,0.11056539731460897,0,12,1256563811
Observed-state MAR,Oracle state,1.0331267363661936,1.0400127553653846,0.09678596030012644,1,12,1256563811
Complete,Untyped naive contrast,1.0722361900737751,1.8683339651530944,0.1670731866947961,0,13,2275410286
Complete,Coarse locked state,1.0722361900737751,1.0575746576193166,0.09522093457532295,1,13,2275410286
Complete,Design erasure,1.0722361900737751,1.1739407632715995,0.09436514819625107,1,13,2275410286
Complete,Admissible refinement,1.0722361900737751,1.051632395472334,0.09372216703608291,1,13,2275410286
Complete,Mediator-as-state,1.0722361900737751,0.6370088599946447,0.09697894523581799,0,13,2275410286
Complete,Post-action leakage,1.0722361900737751,0.8314540781361007,0.10418792259116132,0,13,2275410286
Complete,Oracle state,1.0722361900737751,1.0503583523707753,0.09274373716214188,1,13,2275410286
Observed-state MAR,Untyped naive contrast,1.0688678275341064,1.4444415343151598,0.1643272332049485,0,13,2275410286
Observed-state MAR,Coarse locked state,1.0688678275341064,1.133096386729859,0.11093675714647204,1,13,2275410286
Observed-state MAR,Design erasure,1.0688678275341064,1.2697994438503628,0.10966590741536746,1,13,2275410286
Observed-state MAR,Admissible refinement,1.0688678275341064,1.1375112286659737,0.10844131214278528,1,13,2275410286
Observed-state MAR,IPCW admissible refinement,1.0688678275341064,1.1313731654746293,0.1096611634561326,1,13,2275410286
Observed-state MAR,Mediator-as-state,1.0688678275341064,0.723833907303377,0.11569253234148764,0,13,2275410286
Observed-state MAR,Post-action leakage,1.0688678275341064,0.8731770453581285,0.11790697767704479,1,13,2275410286
Observed-state MAR,Oracle state,1.0688678275341064,1.14535921173739,0.10536891450927484,1,13,2275410286
Complete,Untyped naive contrast,1.0550707612911912,1.7151848751198078,0.1571774754901528,0,14,4211962318
Complete,Coarse locked state,1.0550707612911912,0.9858125435536536,0.08847833282671408,1,14,4211962318
Complete,Design erasure,1.0550707612911912,1.1443831517820653,0.08170528526344244,1,14,4211962318
Complete,Admissible refinement,1.0550707612911912,1.0214026388933346,0.08315929309353884,1,14,4211962318
Complete,Mediator-as-state,1.0550707612911912,0.6310523611045293,0.08323814242112804,0,14,4211962318
Complete,Post-action leakage,1.0550707612911912,0.7397164786393753,0.08429014248913433,0,14,4211962318
Complete,Oracle state,1.0550707612911912,1.004939481466201,0.08046922499155888,1,14,4211962318
Observed-state MAR,Untyped naive contrast,1.0836150759447287,1.847847605862491,0.17699050524791615,0,14,4211962318
