variant,method,true,estimate,se,covered,rep,seed
Outcome compression,Admissible refinement,1.0641316700863612,1.0393443088196945,0.09788928663487073,1,19,4079956413
Outcome compression,Oracle state,1.0641316700863612,1.0326724086302186,0.09724201539929408,1,19,4079956413
Nonclassical representation,Design erasure,1.0887470862082491,1.0414171689258014,0.08710156668370675,1,19,4079956413
Nonclassical representation,Admissible refinement,1.0887470862082491,1.0133023679745858,0.08532890515828606,1,19,4079956413
Nonclassical representation,Oracle state,1.0887470862082491,1.0280562547149579,0.07971361902040107,1,19,4079956413
Baseline,Design erasure,1.0889396826145437,1.255014801726732,0.08774682916655448,1,20,4236554130
Baseline,Admissible refinement,1.0889396826145437,1.1586176137966646,0.08518972047465391,1,20,4236554130
Baseline,Oracle state,1.0889396826145437,1.1356480620287457,0.08364904796302211,1,20,4236554130
Positivity stress,Design erasure,1.0749645518353697,1.3511809774470704,0.08566980962579449,0,20,4236554130
Positivity stress,Admissible refinement,1.0749645518353697,1.1163268174146637,0.09252064843926769,1,20,4236554130
Positivity stress,Oracle state,1.0749645518353697,1.0889790454187325,0.08947155450854881,1,20,4236554130
Outcome compression,Design erasure,1.0486180156619482,1.0312596576052389,0.09340186393787,1,20,4236554130
Outcome compression,Admissible refinement,1.0486180156619482,0.9721011768618455,0.09641692788759444,1,20,4236554130
Outcome compression,Oracle state,1.0486180156619482,0.9454864031119494,0.09143723969250503,1,20,4236554130
Nonclassical representation,Design erasure,1.105910943537046,1.1735907286496954,0.09121730234046328,1,20,4236554130
Nonclassical representation,Admissible refinement,1.105910943537046,1.0957621118021017,0.09250575160661677,1,20,4236554130
Nonclassical representation,Oracle state,1.105910943537046,1.1213918642883325,0.0918138777840071,1,20,4236554130
Baseline,Design erasure,1.0963553959017256,1.3525993169037125,0.09954930180911278,0,21,197785187
Baseline,Admissible refinement,1.0963553959017256,1.2257954328269423,0.09684874398774466,1,21,197785187
Baseline,Oracle state,1.0963553959017256,1.2058187092283719,0.09197523840095866,1,21,197785187
Positivity stress,Design erasure,1.098447528984135,1.272285513299299,0.10094687806553196,1,21,197785187
Positivity stress,Admissible refinement,1.098447528984135,0.9861604109762007,0.09428110176361822,1,21,197785187
Positivity stress,Oracle state,1.098447528984135,0.9908534869938191,0.09418616828219536,1,21,197785187
Outcome compression,Design erasure,1.0895898837786056,1.3097738876645701,0.10178025669424859,0,21,197785187
Outcome compression,Admissible refinement,1.0895898837786056,1.250664190861283,0.10470935372856853,1,21,197785187
Outcome compression,Oracle state,1.0895898837786056,1.2537311928025294,0.10699695700397036,1,21,197785187
Nonclassical representation,Design erasure,1.0394731598151903,1.1866906771448371,0.09620915595222415,1,21,197785187
Nonclassical representation,Admissible refinement,1.0394731598151903,1.1157105322214111,0.10058542581312725,1,21,197785187
Nonclassical representation,Oracle state,1.0394731598151903,1.1607685064248574,0.097813588227787,1,21,197785187
Baseline,Design erasure,1.046247702767085,1.1654781566785433,0.1076807415867166,1,22,2913171082
Baseline,Admissible refinement,1.046247702767085,1.0048299545281163,0.10207036212262034,1,22,2913171082
Baseline,Oracle state,1.046247702767085,0.9805125575175135,0.1010578736747374,1,22,2913171082
Positivity stress,Design erasure,1.0611257424610525,1.2831150633805437,0.09179770956617961,0,22,2913171082
